Timestamp,Twist Linear,Twist Angular
"1609834437,62623805","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834437,231684157","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834437,434178743","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834437,681209294","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834437,840954217","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834438,57435333","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834438,232343977","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834438,444642344","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834438,675374556","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834438,837852753","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834439,55676232","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834439,239872185","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834439,439846130","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834439,687502230","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834439,864991490","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834440,95510271","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834440,256117249","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834440,509397904","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834440,769621124","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834440,843977849","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834441,68477825","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834441,236758072","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609834441,448224250","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
