Timestamp,Twist Linear,Twist Angular
"1609852666,744634545","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852666,990251090","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852667,145547091","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852667,369229527","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852667,545451168","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852667,746663773","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852667,987597289","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852668,147000070","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852668,368896839","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852668,547043206","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852668,747804353","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852668,994553682","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852669,148205204","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852669,369111271","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852669,549325292","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852669,750718771","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852669,995977066","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852670,150854746","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609852670,377833195","x: -0.0172821990189
y: 0.00243474089297
z: 0.0343112461269","x: 0.0
y: 0.0
z: 0.0"
"1609852670,559111022","x: -0.0468014234436
y: 0.094067783091
z: 0.261854112148","x: 0.0
y: 0.0
z: 0.0"
"1609852670,758800051","x: 0.0473351224392
y: 0.0994591609412
z: 0.557109177113","x: 0.0
y: 0.0
z: 0.0"
"1609852670,993571316","x: 0.11062303477
y: -0.0702636398329
z: 0.97111260891","x: 0.0
y: 0.0
z: 0.0"
"1609852671,154495221","x: 0.0234532717773
y: 0.0478784948965
z: 1.06426239014","x: 0.0
y: 0.0
z: 0.0"
"1609852671,375433736","x: 0.250367668882
y: 0.227315154929
z: 0.778300523758","x: 0.0
y: 0.0
z: 0.0"
"1609852671,554336399","x: 0.14266595147
y: -0.0993549276322
z: 0.453001320362","x: 0.0
y: 0.0
z: 0.0"
"1609852671,759263970","x: 0.0543517515539
y: -0.07530124102
z: 0.259686499834","x: 0.0
y: 0.0
z: 0.0"
"1609852672,6142441","x: 0.0186684930723
y: -0.0261719377526
z: 0.132441654801","x: 0.0
y: 0.0
z: 0.0"
"1609852672,162010522","x: 0.00106191080647
y: -0.015427520517
z: 0.058774381876","x: 0.0
y: 0.0
z: 0.0"
"1609852672,719927893","x: -0.0048503768879
y: -0.010509485103
z: 0.0411773137748","x: 0.0
y: 0.0
z: 0.0"
"1609852672,796533605","x: -0.000951279482884
y: -0.0155707275164
z: 0.0179157070816","x: 0.0
y: 0.0
z: 0.0"
"1609852672,877530478","x: -0.00205583112344
y: -0.00299323291624
z: 0.0177164617926","x: 0.0
y: 0.0
z: 0.0"
"1609852673,27350989","x: 0.00108741874769
y: 0.00456097187229
z: 0.0327363498509","x: 0.0
y: 0.0
z: 0.0"
"1609852673,159888586","x: 0.00530098514833
y: -7.38407327294e-05
z: 0.0161911062896","x: 0.0
y: 0.0
z: 0.0"
"1609852673,382165229","x: 0.00497528346853
y: -0.000716739112868
z: 0.0165066663176","x: 0.0
y: 0.0
z: 0.0"
"1609852673,563068524","x: 0.00641157163686
y: -0.0065839099117
z: 0.0220338255167","x: 0.0
y: 0.0
z: 0.0"
"1609852673,763568394","x: 0.0100050823435
y: 0.00962988184906
z: 0.0288820378482","x: 0.0
y: 0.0
z: 0.0"
"1609852674,1362539","x: 0.00266692604067
y: -0.00283997192082
z: 0.0450185909867","x: 0.0
y: 0.0
z: 0.0"
"1609852674,173453919","x: 0.00289036705062
y: -0.0159053655541
z: 0.0225269701332","x: 0.0
y: 0.0
z: 0.0"
